Period_Index,Price_EUR_MWh,Optimized_Grid_Load_kW,Market_Price_EUR_MWh,Baseline_Load_kW,Net_Grid_Import_kW,PV_Generation_kW,BESS_SoC_kWh,Ambient_Temp_C,BESS_Cell_Temp_C
7642,49.65,600,49.65,300,718.364,381.636,541.2727,25,50.239
7643,49.65,900,49.65,750,900,379.1983,660.0227,25.299999999999997,55.007
7644,49.65,1024.5,49.65,612.8,900,376.7606,750.0823,25.599999999999998,59.93
7645,77.54,374.3,77.54,355.5,0,374.3229,810,25.9,64.997
7646,77.54,362.5,77.54,265.2,0,362.5406,810,26.049999999999997,66.278
7647,77.54,350.8,77.54,300,0,350.7584,810,26.2,66.348
7648,77.54,339,77.54,296.9,0,338.9762,810,26.35,64.998
7649,86.79,327.2,86.79,150,0,327.1939,810,26.5,63.681
7650,86.79,308.1,86.79,150,0,308.0986,810,26.5,62.419
7651,86.79,289,86.79,450,0,289.0033,810,26.5,61.161
7652,86.79,269.9,86.79,450,0,269.9079,810,26.5,59.933
7653,107.29,250.8,107.29,268.5,0,250.8126,810,26.5,58.735
7654,107.29,224,107.29,0,0,223.9978,810,26.375,57.566
7655,107.29,300,107.29,300,0,197.1831,810,26.25,56.426
7656,107.29,300,107.29,300,0,170.3684,782.9429,26.125,55.314
7657,128.28,450,128.28,750,0,143.5536,748.8293,26,54.226
7658,128.28,292.7,128.28,625.1,0,127.0314,668.1856,25.675,53.162
7659,128.28,600,128.28,900,0,110.5092,624.5964,25.35,52.119
7660,128.28,594,128.28,900,0,93.987,495.783,25.025,51.099
7661,208.1,577.5,208.1,900,0,77.4648,364.2041,24.7,50.104
7662,208.1,450,208.1,900,0,61.7551,232.6251,24.15,49.134
7663,208.1,75.2,208.1,900,0,46.0455,130.4554,23.6,48.187
7664,208.1,150,208.1,900,0,30.3359,122.7806,23.05,14.7
7665,208.51,14.6,208.51,900,0,14.6262,91.2901,22.5,14.7
7666,208.51,11,208.51,900,0,10.9697,91.2901,22.15,14.698
7667,208.51,12.2,208.51,900,0,7.3131,91.2901,21.8,14.694
7668,208.51,3.7,208.51,900,0,3.6566,90,21.450000000000003,14.689
7669,126.12,0,126.12,900,0,0,90,21.1,14.682
7670,126.12,0,126.12,900,0,0,90,20.775000000000002,14.674
7671,126.12,0,126.12,900,0,0,90,20.450000000000003,14.666
7672,126.12,0,126.12,900,0,0,90,20.125,14.658
7673,113.63,0,113.63,684.2,0,0,90,19.8,14.649
7674,113.63,0,113.63,301.6,0,0,90,19.625,14.639
7675,113.63,0,113.63,150,0,0,90,19.450000000000003,14.627
7676,113.63,0,113.63,21.7,0,0,90,19.275000000000002,14.613
7677,103.57,382.4,103.57,300,382.4248,0,90,19.1,14.598
7678,103.57,150,103.57,300,150,0,90,18.775000000000002,14.583
7679,103.57,150,103.57,300,150,0,90,18.450000000000003,14.569
7680,103.57,329.9,103.57,153.9,329.9152,0,90,18.125,14.555
7681,97.15,0,97.15,900,0,0,90,17.8,14.541
7682,97.15,0,97.15,900,0,0,90,17.6,14.528
7683,97.15,0,97.15,900,0,0,90,17.4,14.515
7684,97.15,0,97.15,900,0,0,90,17.2,14.502
7685,92.1,0,92.1,900,0,0,90,17,14.489
7686,92.1,0,92.1,900,0,0,90,16.9,14.477
7687,92.1,0,92.1,900,0,0,90,16.8,14.466
7688,92.1,0,92.1,900,0,0,90,16.700000000000003,14.454
7689,88.07,900,88.07,900,900,0,90,16.6,14.443
7690,88.07,900,88.07,900,900,0,90,16.400000000000002,14.433
7691,88.07,900,88.07,900,900,0,90,16.200000000000003,14.423
7692,88.07,900,88.07,844.9,900,0,90,16,14.415
7693,88.37,537.2,88.37,900,537.1785,0,90,15.8,14.481
7694,88.37,305.2,88.37,900,305.2036,0,90,15.700000000000001,14.602
7695,88.37,150,88.37,900,150,0,90,15.600000000000001,14.776
7696,88.37,750,88.37,900,750,0,90,15.5,15.001
7697,92.22,0,92.22,900,0,0,90,15.4,14.979
7698,92.22,0,92.22,900,0,0,90,15.275,15.111
7699,92.22,0,92.22,900,0,0,90,15.15,15.506
7700,92.22,0,92.22,900,0,0,90,15.025,15.473
7701,97.18,0,97.18,900,0,0,90,14.9,15.441
7702,97.18,0,97.18,900,0,0,90,14.775,15.413
7703,97.18,0,97.18,900,0,0,90,14.65,15.386
7704,97.18,0,97.18,900,0,0,90,14.525,15.363
7705,117.93,0,117.93,701.2,0,0,90,14.4,15.341
7706,117.93,2.2,117.93,463.7,0,2.1668,90,14.45,15.316
7707,117.93,4.3,117.93,0,0,4.3337,90,14.5,15.287
7708,117.93,6.5,117.93,0,0,6.5005,90,14.55,15.255
7709,119.92,0,119.92,0,0,8.6674,90,14.6,15.219
7710,119.92,0,119.92,0,0,23.5645,92.0585,15.025,15.182
7711,119.92,0,119.92,0,0,38.4615,97.6551,15.45,15.143
7712,119.92,0,119.92,0,0,53.3586,106.7897,15.875,15.102
7713,84.05,150,84.05,900,0,68.2557,119.4624,16.3,15.06
7714,84.05,117.2,84.05,893,0,86.9447,97.9507,16.775,15.023
7715,84.05,105.6,84.05,900,0,105.6338,90,17.25,14.992
7716,84.05,124.3,84.05,900,0,124.3229,90,17.725,14.966
7717,5.85,300,5.85,776.8,156.9881,143.0119,90,18.2,21.194
7718,5.85,232,5.85,487.2,69.0588,162.9198,90,18.85,27.263
7719,5.85,266.9,5.85,600,84.096,182.8277,90,19.5,33.177
7720,5.85,202.7,5.85,600,0,202.7356,90,20.15,37.691
7721,-8.07,994.6,-8.07,600,900,222.6436,90,20.8,37.086
7722,-8.07,883.5,-8.07,391,900,245.8017,120.4038,21.575,42.746
7723,-8.07,695.9,-8.07,452.8,900,268.9599,124.333,22.35,46.755
7724,-8.07,750,-8.07,212,900,292.1181,172.7961,23.125,49.078
7725,-40,1200,-40,300,900,315.2763,208.4211,23.9,48.19
7726,-40,1050,-40,223,900,326.2459,129.4737,24.5,47.322
7727,-40,733.4,-40,300,900,337.2156,90,25.1,46.473
7728,-40,900,-40,178.6,900,348.1853,129.5779,25.7,45.644
7729,-40.17,900,-40.17,69,900,359.1549,129.5779,26.3,44.833
7730,-40.17,750,-40.17,0,900,368.7703,129.5779,26.8,44.042
7731,-40.17,750,-40.17,0,900,378.3857,165.2029,27.3,43.272
7732,-40.17,1125.2,-40.17,0,900,388.0011,200.8279,27.8,42.522
7733,-42.67,400,-42.67,0,900,397.6165,141.5649,28.3,41.79
7734,-42.67,400,-42.67,0,900,395.7205,260.3149,28.675,41.076
7735,-42.67,450,-42.67,450,900,393.8245,379.0649,29.05,41.663
7736,-42.67,450,-42.67,236.4,900,391.9285,485.9399,29.425,42.569
7737,-19.99,600,-19.99,300,900,390.0325,592.8149,29.8,45.663
7738,-19.99,600,-19.99,300,900,364.8429,664.0649,29.75,46.915
7739,-19.99,900,-19.99,750,900,339.6533,735.3149,29.700000000000003,52.182
7740,-19.99,900,-19.99,612.8,900,314.4637,735.3149,29.650000000000002,57.446
7741,0.52,535.7,0.52,355.5,246.4539,289.2741,810,29.6,62.576
7742,0.52,450,0.52,265.2,195.1246,254.8754,810,28.725,66.181
7743,0.52,450,0.52,300,229.5233,220.4767,810,27.85,65.205
7744,0.52,450,0.52,296.9,263.922,186.078,810,26.975,65.382
7745,79.09,151.7,79.09,150,0,151.6793,810,26.1,64.057
7746,79.09,167.3,79.09,150,15.6601,151.6793,810,25.950000000000003,62.762
7747,79.09,158.8,79.09,450,7.1535,151.6793,810,25.8,61.559
7748,79.09,151.7,79.09,450,0,151.6793,810,25.65,60.323
7749,114.99,151.7,114.99,268.5,0,151.6793,810,25.5,59.115
7750,114.99,140,114.99,0,0,140.0325,810,25.25,57.937
7751,114.99,300,114.99,300,0,128.3857,810,25,56.788
7752,114.99,300,114.99,300,0,116.7389,764.8383,24.75,55.667
7753,141.62,324.2,141.62,750,0,105.0921,716.6117,24.5,54.574
7754,141.62,418.5,141.62,625.1,0,91.8202,658.9646,24.175,53.504
7755,141.62,578.5,141.62,900,0,78.5482,572.9912,23.85,52.457
7756,141.62,421,141.62,900,0,65.2763,441.4123,23.525,51.433
7757,143.71,300,143.71,900,0,52.0043,347.793,23.2,50.429
7758,143.71,378.4,143.71,900,0,42.1181,282.531,22.725,49.451
7759,143.71,421,143.71,900,0,32.2319,194.0287,22.25,48.497
7760,143.71,22.3,143.71,900,0,22.3456,91.7178,21.775,47.566
7761,143.79,12.5,143.79,900,0,12.4594,91.7178,21.3,14.7
7762,143.79,9.3,143.79,900,0,9.3445,91.7178,21.025,14.7
7763,143.79,6.2,143.79,900,0,6.2297,91.7178,20.75,14.698
7764,143.79,9.6,143.79,900,0,3.1148,91.7178,20.475,14.694
7765,119.98,0,119.98,900,0,0,90,20.2,14.689
7766,119.98,0,119.98,900,0,0,90,20.025,14.682
7767,119.98,0,119.98,900,0,0,90,19.85,14.674
7768,119.98,0,119.98,900,0,0,90,19.675,14.666
7769,105.77,0,105.77,684.2,0,0,90,19.5,14.658
7770,105.77,0,105.77,301.6,0,0,90,19.3,14.649
7771,105.77,0,105.77,150,0,0,90,19.1,14.639
7772,105.77,0,105.77,21.7,0,0,90,18.9,14.627
7773,90.73,203.3,90.73,300,203.3013,0,90,18.7,14.613
7774,90.73,150,90.73,300,150,0,90,18.525,14.598
7775,90.73,450,90.73,300,450,0,90,18.35,14.583
7776,90.73,538.1,90.73,153.9,538.1286,0,90,18.175,14.569
7777,85.3,900,85.3,900,900,0,90,18,14.555
7778,85.3,900,85.3,900,900,0,90,17.875,14.541
7779,85.3,900,85.3,900,900,0,90,17.75,14.528
7780,85.3,900,85.3,900,900,0,90,17.625,14.515
7781,86.88,0,86.88,900,0,0,90,17.5,14.502
7782,86.88,33.7,86.88,900,33.712,0,90,17.4,14.489
7783,86.88,0,86.88,900,0,0,90,17.3,14.477
7784,86.88,298.3,86.88,900,298.3484,0,90,17.200000000000003,14.466
7785,86.61,900,86.61,900,900,0,90,17.1,14.454
7786,86.61,900,86.61,900,900,0,90,16.925,14.443
7787,86.61,900,86.61,900,900,0,90,16.75,14.433
7788,86.61,900,86.61,803.3,900,0,90,16.575,14.423
7789,87.71,0,87.71,900,0,0,90,16.4,14.415
7790,87.71,0,87.71,900,0,0,90,16.4,14.515
7791,87.71,0,87.71,900,0,0,90,16.4,14.799
7792,87.71,0,87.71,900,0,0,90,16.4,15.263
7793,89.89,0,89.89,900,0,0,90,16.4,15.901
7794,89.89,0,89.89,900,0,0,90,16.45,16.878
7795,89.89,0,89.89,900,0,0,90,16.5,17.188
7796,89.89,0,89.89,900,0,0,90,16.55,17.113
7797,98.32,0,98.32,900,0,0,90,16.6,17.041
7798,98.32,0,98.32,900,0,0,90,16.5,16.97
7799,98.32,0,98.32,900,0,0,90,16.4,16.904
7800,98.32,0,98.32,769.1,0,0,90,16.3,16.841
7801,109,0,109,405.5,0,0,90,16.2,16.781
7802,109,1.2,109,300,0,1.2189,90,16.2,18.325
7803,109,2.4,109,0,0,2.4377,90,16.2,18.433
7804,109,3.7,109,0,0,3.6566,90,16.2,20.878
7805,111.75,0,111.75,0,0,4.8754,90,16.2,22.583
7806,111.75,0,111.75,0,0,12.0531,91.1579,16.3,26.116
7807,111.75,0,111.75,0,0,19.2308,94.0205,16.4,27.684
7808,111.75,0,111.75,0,0,26.4085,98.5878,16.5,29.42
7809,112.64,36.1,112.64,900,0,33.5861,104.8598,16.6,29.026
7810,112.64,44.6,112.64,764.3,0,44.5558,104.1928,16.8,28.641
7811,112.64,73.8,112.64,788,0,55.5255,104.1928,17,30.144
7812,112.64,87.8,112.64,509.7,0,66.4951,99.3872,17.2,31.614
7813,102.23,77.5,102.23,450,0,77.4648,93.7677,17.4,33.992
7814,102.23,80.6,102.23,328.6,0,80.5796,93.7677,17.549999999999997,39.751
7815,102.23,83.7,102.23,404.2,0,83.6945,93.7677,17.7,45.362
7816,102.23,86.8,102.23,234.4,0,86.8093,93.7677,17.85,50.204
7817,88.08,92,88.08,150,0,89.9242,93.7677,18,54.921
7818,88.08,119.9,88.08,72.9,0,119.8537,93.2236,18.3,57.641
7819,88.08,162,88.08,300,0,149.7833,93.2236,18.6,60.293
7820,88.08,179.7,88.08,178.6,0,179.7129,90,18.9,59.129
7821,77.54,411,77.54,300,201.3122,209.6425,90,19.2,61.924
7822,77.54,450,77.54,132.3,229.6587,220.3413,90,19.425,60.719
7823,77.54,231,77.54,150,0,231.0401,90,19.65,59.541
7824,77.54,241.7,77.54,150,0,241.7389,90,19.875,58.391
7825,66.08,174.7,66.08,69,0,252.4377,90,20.1,57.267
7826,66.08,150,66.08,0,0,253.6566,108.4673,20.35,56.169
7827,66.08,150,66.08,0,0,254.8754,133.0858,20.6,55.099
7828,66.08,256.1,66.08,0,0,256.0943,157.9937,20.85,54.056
7829,57.28,462.1,57.28,0,704.7929,257.3131,157.9937,21.1,53.039
7830,57.28,300,57.28,0,538.2178,261.7822,276.7437,21.25,52.048
7831,57.28,666.3,57.28,450,900,266.2514,395.4937,21.4,51.08
7832,57.28,592.8,57.28,236.4,822.0635,270.7205,514.2437,21.55,52.28
7833,65.66,600,65.66,300,824.8104,275.1896,632.9937,21.7,53.595
7834,65.66,600,65.66,300,583.3722,261.9177,751.7437,21.625,55.324
7835,65.66,900,65.66,750,651.3543,248.6457,810,21.549999999999997,58.351
7836,65.66,900,65.66,612.8,664.6262,235.3738,810,21.474999999999998,63.467
7837,82.32,540.2,82.32,355.5,318.1294,222.1018,810,21.4,66.649
7838,82.32,450,82.32,265.2,227.6273,222.3727,810,21.424999999999997,68.402
7839,82.32,395.8,82.32,300,173.1899,222.6436,810,21.45,71.213
7840,82.32,600,82.32,296.9,377.0856,222.9144,810,21.475,74.609
7841,93.43,223.2,93.43,150,0,223.1853,810,21.5,73.058
7842,93.43,208.2,93.43,150,0,208.1528,810,21.475,71.543
7843,93.43,193.1,93.43,450,0,193.1203,810,21.45,70.064
7844,93.43,178.1,93.43,450,0,178.0878,810,21.424999999999997,68.619
7845,114.99,163.1,114.99,268.5,0,163.0553,810,21.4,67.29
7846,114.99,153.4,114.99,0,0,153.4399,810,21.349999999999998,65.91
7847,114.99,300,114.99,300,0,143.8245,810,21.299999999999997,64.564
7848,114.99,300,114.99,300,0,134.2091,768.9012,21.25,63.251
7849,114.99,300,114.99,750,0,124.5937,725.272,21.2,61.971
7850,114.99,418.5,114.99,625.1,0,103.7378,679.1124,20.925,60.722
7851,114.99,582.9,114.99,900,0,82.8819,596.2753,20.65,59.501
7852,114.99,562,114.99,900,0,62.026,464.6963,20.375,58.306
7853,143.77,363,143.77,900,0,41.1701,333.1174,20.1,57.137
7854,143.77,390.8,143.77,900,0,32.5027,248.4127,19.85,55.993
7855,143.77,23.8,143.77,900,0,23.8353,154.1334,19.6,54.877
7856,143.77,21.2,143.77,900,0,15.1679,154.1334,19.35,53.789
7857,129.25,6.5,129.25,900,0,6.5005,152.546,19.1,52.727
7858,129.25,4.9,129.25,900,0,4.8754,152.546,18.85,14.7
7859,129.25,150,129.25,900,0,3.2503,152.546,18.6,14.7
7860,129.25,53.3,129.25,900,0,1.6251,113.9276,18.35,14.698
7861,112.47,0,112.47,900,0,0,100.3286,18.1,14.694
7862,112.47,0,112.47,900,0,0,100.3286,17.950000000000003,14.689
7863,112.47,0,112.47,900,0,0,100.3286,17.8,14.682
7864,112.47,0.3,112.47,900,0,0,100.3286,17.65,14.674
7865,99.13,0,99.13,684.2,0,0,100.2455,17.5,14.666
7866,99.13,0,99.13,301.6,0,0,100.2455,17.5,14.658
7867,99.13,15.9,99.13,150,0,0,100.2455,17.5,14.649
7868,99.13,0,99.13,21.7,0,0,96.0687,17.5,14.639
7869,89.2,150,89.2,300,150,0,96.0687,17.5,14.627
7870,89.2,150,89.2,300,126.9391,0,96.0687,17.325,14.613
7871,89.2,600,89.2,300,600,0,90,17.15,14.598
7872,89.2,450,89.2,153.9,450,0,90,16.975,14.583
7873,94.63,0,94.63,900,0,0,90,16.8,14.569
7874,94.63,0,94.63,900,0,0,90,16.6,14.555
7875,94.63,0,94.63,900,0,0,90,16.4,14.541
7876,94.63,0,94.63,900,0,0,90,16.2,14.528
7877,89.3,0,89.3,900,0,0,90,16,14.515
7878,89.3,0,89.3,900,0,0,90,16.075,14.502
7879,89.3,0,89.3,900,0,0,90,16.15,14.489
7880,89.3,0,89.3,900,0,0,90,16.225,14.477
7881,85.33,0,85.33,900,0,0,90,16.3,14.466
7882,85.33,0,85.33,900,0,0,90,16.05,14.454
7883,85.33,0,85.33,900,0,0,90,15.8,14.443
7884,85.33,0,85.33,844.9,0,0,90,15.55,14.433
7885,81.51,900,81.51,900,900,0,90,15.3,14.423
7886,81.51,900,81.51,900,900,0,90,15.350000000000001,14.415
7887,81.51,900,81.51,900,900,0,90,15.4,14.468
7888,81.51,900,81.51,900,900,0,90,15.45,14.609
7889,87.11,0,87.11,900,0,0,90,15.5,14.837
7890,87.11,0,87.11,900,0,0,90,15.275,15.149
7891,87.11,0,87.11,900,0,0,90,15.05,15.155
7892,87.11,0,87.11,900,0,0,90,14.825,15.129
7893,92.79,0,92.79,900,0,0,90,14.6,15.333
7894,92.79,0,92.79,900,0,0,90,14.5,15.572
7895,92.79,0,92.79,900,0,0,90,14.399999999999999,15.538
7896,92.79,0,92.79,900,0,0,90,14.299999999999999,15.507
7897,91.55,0,91.55,633.7,0,0,90,14.2,15.478
7898,91.55,1.5,91.55,463.7,0,1.4897,90,14.274999999999999,15.452
7899,91.55,3,91.55,0,0,2.9794,90,14.35,15.454
7900,91.55,4.5,91.55,0,0,4.4691,90,14.425,15.427
7901,92.55,0,92.55,0,0,5.9588,90,14.5,15.548
7902,92.55,0,92.55,0,0,18.6891,91.4152,14.775,15.509
7903,92.55,0,92.55,0,0,31.4193,95.8539,15.05,15.467
7904,92.55,0,92.55,0,0,44.1495,103.316,15.325,15.424
7905,87.47,147.3,87.47,900,0,56.8797,113.8015,15.6,15.378
7906,87.47,73.9,87.47,893,0,73.9437,90,15.975,15.332
7907,87.47,91,87.47,900,0,91.0076,90,16.35,16.256
7908,87.47,108.1,87.47,900,0,108.0715,90,16.725,17.486
7909,82.7,150,82.7,776.8,24.8646,125.1354,90,17.1,18.705
7910,82.7,143.6,82.7,487.2,0,143.5536,90,17.425,18.587
7911,82.7,238.4,82.7,473.7,76.4532,161.9718,90,17.75,24.726
7912,82.7,324.3,82.7,450,143.9304,180.39,90,18.075,30.708
7913,38.46,837.3,38.46,450,638.5358,198.8082,90,18.4,36.537
7914,38.46,718.1,38.46,241,500.3306,217.7681,90,18.7,42.216
7915,38.46,294.8,38.46,302.8,58.0826,236.7281,90,19,47.75
7916,38.46,255.7,38.46,178.6,0,255.688,90,19.3,49.962
7917,5.23,450,5.23,300,175.3521,274.6479,90,19.6,49.053
7918,5.23,450,5.23,223,163.1636,286.8364,90,19.900000000000002,48.166
7919,5.23,299,5.23,300,0,299.0249,90,20.200000000000003,47.3
7920,5.23,300,5.23,178.6,0,311.2134,90,20.5,46.454
7921,0,900,0,69,900,323.402,90,20.8,45.627
7922,0,422.8,0,0,105.2695,317.5785,90,20.875,44.818
7923,0,900,0,0,900,311.7551,90,20.950000000000003,44.028
7924,0,545.1,0,0,900,305.9317,90,21.025000000000002,43.257
7925,0,600,0,0,600,300.1083,208.75,21.1,42.507
7926,0,450,0,0,900,291.441,208.75,21.200000000000003,41.775
7927,0,600,0,450,817.2264,282.7736,318.6606,21.3,41.062
7928,0,450,0,236.4,900,274.1062,437.4106,21.4,40.365
7929,0,665.4,0,300,900,265.4388,556.1606,21.5,41.637
7930,0,606,0,300,605.9532,273.0228,674.9106,21.45,42.996
7931,0,900,0,750,900,280.6067,674.9106,21.4,44.441
7932,0,900,0,612.8,900,288.1907,741.5547,21.35,47.588
7933,10,448.4,10,355.5,152.6094,295.7746,810,21.3,52.969
7934,10,450,10,265.2,160.5905,289.4095,810,21.025,58.214
7935,10,600,10,300,316.9556,283.0444,810,20.75,61.099
7936,10,400.3,10,296.9,123.6503,276.6793,810,20.475,64.365
7937,55.7,270.3,55.7,150,0,270.3142,810,20.2,63.07
7938,55.7,248.4,55.7,150,0,248.3749,810,20.05,61.879
7939,55.7,267.4,55.7,450,41.0136,226.4355,810,19.9,60.64
7940,55.7,204.5,55.7,450,0,204.4962,810,19.75,59.43
7941,92.21,182.6,92.21,268.5,0,182.5569,810,19.6,60.082
7942,92.21,169.8,92.21,0,0,169.8267,810,19.6,59.528
7943,92.21,229.3,92.21,300,0,157.0964,810,19.6,58.34
7944,92.21,300,92.21,300,0,144.3662,791.0014,19.6,57.181
7945,107.33,450,107.33,750,0,131.636,750.0451,19.6,56.05
7946,107.33,300,107.33,625.1,0,114.3012,666.2651,19.450000000000003,54.952
7947,107.33,597,107.33,900,0,96.9664,617.397,19.3,53.877
7948,107.33,579.6,107.33,900,0,79.6316,485.8181,19.15,52.824
7949,114.92,520.5,114.92,900,0,62.2969,354.2391,19,51.992
7950,114.92,450,114.92,900,0,49.1603,233.6723,18.55,50.979
7951,114.92,36,114.92,900,0,36.0238,128.1882,18.1,49.987
7952,114.92,22.9,114.92,900,0,22.8873,128.1882,17.65,49.308
7953,124.81,9.8,124.81,900,0,9.7508,128.1882,17.2,48.357
7954,124.81,7.3,124.81,900,0,7.3131,128.1882,16.95,47.43
7955,124.81,4.9,124.81,900,0,4.8754,128.1882,16.7,14.7
7956,124.81,147.6,124.81,900,0,2.4377,128.1882,16.45,14.7
7957,112,0,112,900,0,0,90,16.2,14.698
7958,112,0,112,900,0,0,90,16.05,14.694
7959,112,0,112,900,0,0,90,15.899999999999999,14.689
7960,112,0,112,900,0,0,90,15.75,14.682
7961,98.97,0,98.97,684.2,0,0,90,15.6,14.674
7962,98.97,0,98.97,301.6,0,0,90,15.45,14.666
7963,98.97,0,98.97,150,0,0,90,15.3,14.658
7964,98.97,0,98.97,21.7,0,0,90,15.15,14.649
7965,84.93,900,84.93,300,900,0,90,15,14.639
7966,84.93,900,84.93,300,900,0,90,14.85,14.627
7967,84.93,671.4,84.93,300,671.3973,0,90,14.7,14.613
7968,84.93,463.4,84.93,153.9,463.4439,0,90,14.55,14.598
7969,80.6,0,80.6,900,0,0,90,14.4,14.583
7970,80.6,0,80.6,900,0,0,90,14.35,14.569
7971,80.6,0,80.6,900,0,0,90,14.3,14.555
7972,80.6,0,80.6,900,0,0,90,14.25,14.541
7973,71.47,0,71.47,900,0,0,90,14.2,14.528
7974,71.47,0,71.47,900,0,0,90,14.1,14.515
7975,71.47,0,71.47,900,0,0,90,14,14.502
7976,71.47,0,71.47,900,0,0,90,13.9,14.489
7977,63.96,0,63.96,900,0,0,90,13.8,14.477
7978,63.96,0,63.96,900,0,0,90,13.875,14.466
7979,63.96,0,63.96,900,0,0,90,13.95,14.454
7980,63.96,0,63.96,900,0,0,90,14.025,14.443
7981,60.32,600,60.32,900,600,0,90,14.1,14.433
7982,60.32,450,60.32,900,450,0,90,13.925,14.423
7983,60.32,305.2,60.32,900,305.2036,0,90,13.75,14.415
7984,60.32,389.6,60.32,900,389.6162,0,90,13.575,14.481
7985,57.26,900,57.26,900,900,0,90,13.4,14.705
7986,57.26,900,57.26,900,900,0,90,13.25,15.083
7987,57.26,900,57.26,900,900,0,90,13.100000000000001,15.611
7988,57.26,900,57.26,900,900,0,90,12.950000000000001,16.704
7989,69.93,0,69.93,900,0,0,90,12.8,16.64
7990,69.93,0,69.93,900,0,0,90,12.625,16.579
7991,69.93,0,69.93,900,0,0,90,12.45,16.52
7992,69.93,0,69.93,900,0,0,90,12.275,16.462
7993,70.51,0,70.51,656.7,0,0,90,12.1,16.408
7994,70.51,1.8,70.51,376.5,0,1.7606,90,12.15,16.357
7995,70.51,3.5,70.51,0,0,3.5211,90,12.2,16.31
7996,70.51,5.3,70.51,0,0,5.2817,90,12.25,16.265
7997,67.09,0,67.09,0,0,7.0423,90,12.3,16.217
7998,67.09,0,67.09,0,0,21.9393,91.6725,12.75,16.166
7999,67.09,0,67.09,0,0,36.8364,96.8831,13.2,16.112
8000,67.09,0,67.09,0,0,51.7335,105.6318,13.65,16.055
8001,22.31,120.1,22.31,900,0,66.6306,117.9185,14.1,15.997
8002,22.31,88.6,22.31,893,0,88.5699,103.8577,14.575,15.938
8003,22.31,118.9,22.31,900,0,110.5092,103.8577,15.05,15.877
8004,22.31,150,22.31,900,0,132.4485,101.6549,15.525,15.816
8005,5.38,154.4,5.38,776.8,0.0548,154.3879,97.0361,16,15.761
8006,5.38,214.4,5.38,482.4,23.1565,176.3272,97.0361,16.5,15.711
8007,5.38,198.3,5.38,600,0,198.2665,93.0981,17,21.917
8008,5.38,232,5.38,560.6,0,220.2059,93.0981,17.5,21.724
8009,0.01,673.8,0.01,450,431.6415,242.1452,90,18,27.315
8010,0.01,837.3,0.01,241,575.8326,261.5114,90,18.525,33.228
8011,0.01,280.9,0.01,302.8,0,280.8776,90,19.05,38.989
8012,0.01,300.2,0.01,178.6,0,300.2438,90,19.575000000000003,44.602
8013,-0.02,750,-0.02,300,900,319.61,90,20.1,43.826
8014,-0.02,900,-0.02,223,900,328.8191,125.625,20.450000000000003,46.576
8015,-0.02,750,-0.02,248.3,900,338.0282,125.625,20.8,49.353
8016,-0.02,750,-0.02,150,900,347.2373,161.25,21.15,48.458
8017,-0.11,900,-0.11,69,900,356.4464,196.875,21.5,47.583
8018,-0.11,1111.7,-0.11,0,900,363.3532,196.875,21.725,46.728
8019,-0.11,1050,-0.11,0,900,370.26,141.1613,21.95,45.892
8020,-0.11,450,-0.11,0,900,377.1668,101.6876,22.174999999999997,45.075
8021,-1,450,-1,0,900,384.0737,208.5626,22.4,44.279
8022,-1,450,-1,0,900,385.9697,315.4376,22.599999999999998,43.503
8023,-1,450,-1,450,900,387.8657,422.3126,22.799999999999997,42.746
8024,-1,450,-1,236.4,900,389.7616,529.1876,23,42.01
8025,-0.61,600,-0.61,300,900,391.6576,636.0626,23.2,41.29
8026,-0.61,600,-0.61,300,900,386.6468,707.3126,23.275,41.489
8027,-0.61,900,-0.61,750,900,381.636,778.5626,23.35,42.725
8028,-0.61,900,-0.61,612.8,900,376.6251,778.5626,23.425,45.963
8029,0,319,0,355.5,0,371.6143,810,23.5,47.459
8030,0,450,0,265.2,450,360.2384,810,23.55,52.843
8031,0,450,0,300,450,348.8624,810,23.6,58.091
8032,0,600,0,296.9,600,337.4865,810,23.65,62.683
8033,27.6,300,27.6,150,0,326.1105,810,23.7,66.442
8034,27.6,300,27.6,150,0,309.5883,810,23.7,65.095
8035,27.6,293.1,27.6,450,0,293.0661,810,23.7,63.779
8036,27.6,276.5,27.6,450,0,276.5439,810,23.7,62.493
8037,86.89,52.1,86.89,268.5,0,260.0217,810,23.7,61.237
8038,86.89,237.8,86.89,0,0,237.8115,810,23.575,60.011
8039,86.89,300,86.89,300,84.3987,215.6013,810,23.45,60.626
8040,86.89,300,86.89,300,106.6089,193.3911,810,23.325,59.411
8041,111.77,300,111.77,750,0,171.1809,810,23.2,58.225
8042,111.77,418.5,111.77,625.1,0,148.6999,776.1002,22.725,57.069
8043,111.77,600,111.77,900,0,126.2189,705.0952,22.25,55.942
8044,111.77,421,111.77,900,0,103.7378,580.4159,21.775,54.842
8045,127.25,450,127.25,900,0,81.2568,496.9182,21.3,53.766
8046,127.25,563.9,127.25,900,0,63.922,399.8805,20.7,52.712
8047,127.25,421,127.25,900,0,46.5872,268.3015,20.1,51.681
8048,127.25,119.8,127.25,900,0,29.2524,169.7683,19.5,50.672
8049,125.6,11.9,125.6,900,0,11.9177,145.9529,18.9,49.687
8050,125.6,53.3,125.6,900,0,8.9382,145.9529,18.424999999999997,48.727
8051,125.6,150,125.6,900,0,5.9588,134.2784,17.95,47.791
8052,125.6,3,125.6,900,0,2.9794,96.3728,17.475,14.7
