Period_Index,Price_EUR_MWh,Optimized_Grid_Load_kW,Market_Price_EUR_MWh,Baseline_Load_kW,Net_Grid_Import_kW,PV_Generation_kW,BESS_SoC_kWh,Ambient_Temp_C,BESS_Cell_Temp_C
95,103.63,0,103.63,300,0,0,90,12.4,82.898
96,103.63,0,103.63,153.9,0,0,90,12.100000000000001,81.118
97,90.41,0,90.41,900,0,0,90,11.8,79.382
98,90.41,0,90.41,900,0,0,90,11.5,14.7
99,90.41,0,90.41,900,0,0,90,11.2,14.7
100,90.41,0,90.41,900,0,0,90,10.9,14.698
101,82.34,0,82.34,900,0,0,90,10.6,14.694
102,82.34,0,82.34,900,0,0,90,10.4,14.689
103,82.34,0,82.34,900,0,0,90,10.2,14.682
104,82.34,0,82.34,900,0,0,90,10,14.674
105,71.17,0,71.17,900,0,0,90,9.8,14.666
106,71.17,0,71.17,900,0,0,90,9.575000000000001,14.658
107,71.17,0,71.17,900,0,0,90,9.350000000000001,14.649
108,71.17,0,71.17,900,0,0,90,9.125,14.639
109,62.05,519.4,62.05,900,519.3663,0,90,8.9,14.627
110,62.05,174,62.05,900,174.0356,0,90,8.85,14.613
111,62.05,359,62.05,685.5,358.9527,0,90,8.8,14.598
112,62.05,547.8,62.05,519.8,547.8282,0,90,8.75,14.583
113,56.05,900,56.05,300,900,0,90,8.7,14.569
114,56.05,900,56.05,158.8,900,0,90,8.7,14.555
115,56.05,900,56.05,64.8,900,0,90,8.7,14.541
116,56.05,900,56.05,0,900,0,90,8.7,14.528
117,62.37,0,62.37,0,0,0,90,8.7,14.515
118,62.37,3.3,62.37,0,0,3.2503,90,8.875,14.502
119,62.37,6.5,62.37,0,0,6.5005,90,9.05,14.489
120,62.37,9.8,62.37,0,0,9.7508,90,9.225,14.477
121,79.26,13,79.26,0,0,13.0011,90,9.4,14.466
122,79.26,27,79.26,0,0,26.9502,90,9.85,14.454
123,79.26,40.9,79.26,0,0,40.8992,90,10.3,14.443
124,79.26,54.8,79.26,0,0,54.8483,90,10.75,14.433
125,85.19,0,85.19,0,0,68.7974,90,11.2,14.423
126,85.19,0,85.19,0,0,90.3304,90,11.625,14.415
127,85.19,0,85.19,0,0,111.8635,90,12.05,14.407
128,85.19,0,85.19,0,0,133.3965,90,12.475,14.399
129,86.28,0,86.28,900,0,154.9296,90,12.9,14.392
130,86.28,0,86.28,595.7,0,177.4106,90,13.35,14.385
131,86.28,0,86.28,490.4,0,199.8917,90,13.8,14.378
132,86.28,0,86.28,249.8,0,222.3727,90,14.25,14.371
133,62.08,0,62.08,150,0,244.8537,90,14.7,14.366
134,62.08,0,62.08,28.6,0,265.9805,90,15.2,14.361
135,62.08,0,62.08,150,0,287.1073,90,15.7,14.357
136,62.08,0,62.08,150,0,308.234,90,16.2,14.355
137,23.07,18.5,23.07,150,0,329.3608,90,16.7,14.355
138,23.07,0,23.07,72.9,0,347.1018,90,17.175,14.357
139,23.07,300,23.07,300,0,364.8429,90,17.65,14.36
140,23.07,38.8,23.07,178.6,0,382.584,90,18.125,14.359
141,1.68,0,1.68,300,0,400.325,90,18.6,14.354
142,1.68,0,1.68,132.3,0,413.4615,90,19.075000000000003,14.345
143,1.68,150,1.68,150,0,426.598,90,19.55,14.331
144,1.68,150,1.68,150,0,439.7346,90,20.025,14.316
145,-0.33,450,-0.33,69,900,452.8711,90,20.5,14.298
146,-0.33,450,-0.33,0,900,459.6425,196.875,20.9,14.278
147,-0.33,422.8,-0.33,0,900,466.4139,303.75,21.3,19.882
148,-0.33,533.1,-0.33,0,33.1312,473.1853,417.0736,21.700000000000003,25.351
149,-2.05,400,-2.05,0,900,479.9567,285.4946,22.1,31.029
150,-2.05,400,-2.05,0,900,479.415,404.2446,22.325000000000003,36.857
151,-2.05,450,-2.05,450,900,478.8732,522.9946,22.55,42.545
152,-2.05,450,-2.05,236.4,900,478.3315,629.8696,22.775,48.087
153,-5.96,1136.9,-5.96,300,900,477.7898,736.7446,23,52.862
154,-5.96,1083.7,-5.96,300,900,468.7161,674.4148,23.175,57.513
155,-5.96,1177.4,-5.96,750,900,459.6425,626.0682,23.35,59.38
156,-5.96,1200,-5.96,612.8,900,450.5688,553.0578,23.525,60.535
157,-3.66,600,-3.66,355.5,900,441.4951,474.1104,23.7,62.833
158,-3.66,600,-3.66,265.2,900,423.4832,545.3604,23.825,65.356
159,-3.66,535.7,-3.66,300,900,405.4713,616.6104,23.95,67.816
160,-3.66,450,-3.66,296.9,900,387.4594,703.125,24.075,70.213
161,0.03,0,0.03,150,0,369.4475,810,24.2,73.353
162,0.03,150,0.03,150,0,361.1863,810,24.35,77.484
163,0.03,150,0.03,450,0,352.9252,810,24.5,75.887
164,0.03,150,0.03,450,0,344.6641,810,24.65,74.33
165,79.29,150,79.29,268.5,0,336.403,810,24.8,72.812
166,79.29,297,79.29,0,0,296.9935,810,24.625,71.333
167,79.29,300,79.29,300,0,257.584,810,24.450000000000003,69.89
168,79.29,300,79.29,300,0,218.1744,798.8379,24.275000000000002,68.481
