Umlauf,Dienste,Linie,Fahrtnummer,Betriebstage,Planungsbedingung,Typ,Fahrtart,Fahrzeugtypgruppe,Fahrzeugtyp,Beschreibung,von,Startzeit,von (Beschreibung),nach,Endzeit,nach (Beschreibung),Dauer,Meter,_source_order,start_min,end_min,dur_min,vehicle_type,consumption_wh_per_m,battery_capacity_kwh,trip_energy_kwh,_vehicle_fallback,start_hhmm,end_hhmm
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENE_BP","16:39:00","Wels Machstraße BP","OWENETI2","16:39:00","Wels Machstraße, Mast 2","00:00:00","0","68","999","999","0","NGB/LB12","1.2","400","0","false","16:39","16:39"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEFLE2","17:05:00","Wels Flemingstraße, Mast 2","OWEFS_BP","17:05:00","Wels Flemingstraße BP","00:00:00","0","69","1025","1025","0","NGB/LB12","1.2","400","0","false","17:05","17:05"
"OW01EC1","OW01EC1","","","Alle Mo-Fr","OSchule","A","","GB","NGB/LB12","","OWEFS_BP","17:05:00","Wels Flemingstraße BP","OWELS_A","17:08:00","VS Wels A","00:03:00","1335","70","1025","1028","3","NGB/LB12","1.2","400","1.602","false","17:05","17:08"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","E","","GB","NGB/LB12","","OWELS_E","05:14:00","VS Wels E","OWERÖ_BP","05:19:00","Wels Laahenerstraße BP","00:05:00","2400","71","314","319","5","NGB/LB12","1.2","400","2.88","false","05:14","05:19"
"OW02EC1","OW02EC1","700450","7004101","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWERÖL2","05:19:00","Wels Laahenerstraße, Mast 2","OWENIDO2","05:22:00","Wels Nico-Dostal-Straße, Mast 2","00:03:00","1240","72","319","322","3","NGB/LB12","1.2","400","1.488","false","05:19","05:22"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWERÖ_BP","05:19:00","Wels Laahenerstraße BP","OWERÖL2","05:19:00","Wels Laahenerstraße, Mast 2","00:00:00","0","73","319","319","0","NGB/LB12","1.2","400","0","false","05:19","05:19"
"OW02EC1","OW02EC1","700450","7004102","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","05:22:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","06:06:00","Wels Noitzmühlstraße, Mast 1","00:44:00","12750","74","322","366","44","NGB/LB12","1.2","400","15.3","false","05:22","06:06"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","05:22:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","05:22:00","Wels Nico-Dostal-Straße BP","00:00:00","0","75","322","322","0","NGB/LB12","1.2","400","0","false","05:22","05:22"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","05:22:00","Wels Nico-Dostal-Straße BP","OWENIDO1","05:22:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","76","322","322","0","NGB/LB12","1.2","400","0","false","05:22","05:22"
"OW02EC1","OW02EC1","700450","7004107","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWESANO2","06:06:00","Wels Noitzmühlstraße, Mast 2","OWENIDO2","06:31:00","Wels Nico-Dostal-Straße, Mast 2","00:25:00","7280","77","366","391","25","NGB/LB12","1.2","400","8.736","false","06:06","06:31"
